,instant,dteday,season,weathersit,temp,casual,registered
576,576,2012-07-29,3,1,29.6,2153,4444
577,577,2012-07-30,3,1,30.0,1040,6065
578,578,2012-07-31,3,1,29.2,968,6248
579,579,2012-08-01,3,1,29.4,1074,6506
580,580,2012-08-02,3,1,30.9,983,6278
581,581,2012-08-03,3,2,31.4,1328,5847
582,582,2012-08-04,3,1,32.5,2345,4479
583,583,2012-08-05,3,1,31.5,1707,3757
584,584,2012-08-06,3,2,30.9,1233,5780
585,585,2012-08-07,3,2,30.2,1278,5995
586,586,2012-08-08,3,2,30.8,1263,6271
587,587,2012-08-09,3,1,31.0,1196,6090
588,588,2012-08-10,3,2,29.3,1065,4721
589,589,2012-08-11,3,2,28.4,2247,4052
590,590,2012-08-12,3,1,28.7,2182,4362
591,591,2012-08-13,3,1,29.6,1207,5676
592,592,2012-08-14,3,1,29.8,1128,5656
593,593,2012-08-15,3,1,29.0,1198,6149
594,594,2012-08-16,3,1,29.5,1338,6267
595,595,2012-08-17,3,1,29.7,1483,5665
596,596,2012-08-18,3,1,27.8,2827,5038
597,597,2012-08-19,3,2,26.1,1208,3341
598,598,2012-08-20,3,2,26.1,1026,5504
599,599,2012-08-21,3,1,26.6,1081,5925
600,600,2012-08-22,3,1,27.4,1094,6281
601,601,2012-08-23,3,1,28.5,1363,6402
602,602,2012-08-24,3,2,28.8,1325,6257
603,603,2012-08-25,3,2,27.1,1829,4224
604,604,2012-08-26,3,2,26.8,1483,3772
605,605,2012-08-27,3,1,28.8,989,5928
606,606,2012-08-28,3,1,29.9,935,6105
607,607,2012-08-29,3,1,28.1,1177,6520
608,608,2012-08-30,3,1,29.0,1172,6541
609,609,2012-08-31,3,1,31.3,1433,5917
610,610,2012-09-01,3,2,30.9,2352,3788
611,611,2012-09-02,3,2,28.6,2613,3197
612,612,2012-09-03,3,1,29.0,1965,4069
613,613,2012-09-04,3,1,29.8,867,5997
614,614,2012-09-05,3,1,30.2,832,6280
615,615,2012-09-06,3,2,28.6,611,5592
616,616,2012-09-07,3,1,28.8,1045,6459
617,617,2012-09-08,3,2,27.0,1557,4419
618,618,2012-09-09,3,1,25.0,2570,5657
619,619,2012-09-10,3,1,23.9,1118,6407
620,620,2012-09-11,3,1,23.7,1070,6697
621,621,2012-09-12,3,1,24.6,1050,6820
622,622,2012-09-13,3,1,25.1,1054,6750
623,623,2012-09-14,3,1,26.0,1379,6630
624,624,2012-09-15,3,1,24.9,3160,5554
625,625,2012-09-16,3,1,23.8,2166,5167
626,626,2012-09-17,3,2,23.8,1022,5847
627,627,2012-09-18,3,2,25.6,371,3702
628,628,2012-09-19,3,1,22.7,788,6803
629,629,2012-09-20,3,1,22.4,939,6781
630,630,2012-09-21,3,1,24.6,1250,6917
631,631,2012-09-22,3,1,26.7,2512,5883
632,632,2012-09-23,4,1,21.7,2454,5453
633,633,2012-09-24,4,1,21.1,1001,6435
634,634,2012-09-25,4,1,22.6,845,6693
635,635,2012-09-26,4,1,26.0,787,6946
636,636,2012-09-27,4,2,26.7,751,6642
637,637,2012-09-28,4,2,25.4,1045,6370
638,638,2012-09-29,4,1,22.2,2589,5966
639,639,2012-09-30,4,1,21.6,2015,4874
640,640,2012-10-01,4,2,21.4,763,6015
641,641,2012-10-02,4,3,24.2,315,4324
642,642,2012-10-03,4,2,27.0,728,6844
643,643,2012-10-04,4,2,27.0,891,6437
644,644,2012-10-05,4,1,25.2,1516,6640
645,645,2012-10-06,4,1,22.7,3031,4934
646,646,2012-10-07,4,2,17.0,781,2729
647,647,2012-10-08,4,2,15.7,874,4604
648,648,2012-10-09,4,2,18.3,601,5791
649,649,2012-10-10,4,1,21.1,780,6911
650,650,2012-10-11,4,1,17.8,834,6736
651,651,2012-10-12,4,1,17.9,1060,6222
652,652,2012-10-13,4,1,16.1,2252,4857
653,653,2012-10-14,4,1,21.4,2080,4559
654,654,2012-10-15,4,2,23.0,760,5115
655,655,2012-10-16,4,1,19.2,922,6612
656,656,2012-10-17,4,1,18.7,979,6482
657,657,2012-10-18,4,2,21.4,1008,6501
658,658,2012-10-19,4,2,23.1,753,4671
659,659,2012-10-20,4,1,19.9,2806,5284
660,660,2012-10-21,4,1,19.0,2132,4692
661,661,2012-10-22,4,1,20.0,830,6228
662,662,2012-10-23,4,1,22.3,841,6625
663,663,2012-10-24,4,1,24.1,795,6898
664,664,2012-10-25,4,2,22.6,875,6484
665,665,2012-10-26,4,2,22.4,1182,6262
666,666,2012-10-27,4,2,21.7,2643,5209
667,667,2012-10-28,4,2,19.6,998,3461
668,668,2012-10-29,4,3,18.0,2,20
669,669,2012-10-30,4,2,13.0,87,1009
670,670,2012-10-31,4,2,14.7,419,5147
671,671,2012-11-01,4,2,15.0,466,5520
672,672,2012-11-02,4,1,14.6,618,5229
673,673,2012-11-03,4,2,14.1,1029,4109
674,674,2012-11-04,4,1,13.4,1201,3906
675,675,2012-11-05,4,1,13.1,378,4881
676,676,2012-11-06,4,1,11.5,466,5220
677,677,2012-11-07,4,2,12.1,326,4709
678,678,2012-11-08,4,1,14.4,340,4975
679,679,2012-11-09,4,1,14.8,709,5283
680,680,2012-11-10,4,1,16.0,2090,4446
681,681,2012-11-11,4,1,17.3,2290,4562
682,682,2012-11-12,4,1,19.9,1097,5172
683,683,2012-11-13,4,2,14.1,327,3767
684,684,2012-11-14,4,1,11.9,373,5122
685,685,2012-11-15,4,2,13.2,320,5125
686,686,2012-11-16,4,1,14.1,484,5214
687,687,2012-11-17,4,1,13.3,1313,4316
688,688,2012-11-18,4,1,14.0,922,3747
689,689,2012-11-19,4,2,15.6,449,5050
690,690,2012-11-20,4,2,15.3,534,5100
691,691,2012-11-21,4,1,14.5,615,4531
692,692,2012-11-22,4,1,13.9,955,1470
693,693,2012-11-23,4,1,15.1,1603,2307
694,694,2012-11-24,4,1,11.4,532,1745
695,695,2012-11-25,4,1,10.1,309,2115
696,696,2012-11-26,4,1,12.8,337,4750
697,697,2012-11-27,4,2,12.0,123,3836
698,698,2012-11-28,4,1,12.2,198,5062
699,699,2012-11-29,4,1,11.5,243,5080
700,700,2012-11-30,4,1,12.2,362,5306
701,701,2012-12-01,4,2,12.2,951,4240
702,702,2012-12-02,4,2,14.2,892,3757
703,703,2012-12-03,4,1,18.6,555,5679
704,704,2012-12-04,4,1,19.5,551,6055
705,705,2012-12-05,4,1,18.0,331,5398
706,706,2012-12-06,4,1,10.5,340,5035
707,707,2012-12-07,4,2,13.2,349,4659
708,708,2012-12-08,4,2,15.6,1153,4429
709,709,2012-12-09,4,2,15.8,441,2787
710,710,2012-12-10,4,2,17.9,329,4841
711,711,2012-12-11,4,2,14.5,282,5219
712,712,2012-12-12,4,2,12.2,310,5009
713,713,2012-12-13,4,1,12.1,425,5107
714,714,2012-12-14,4,1,11.5,429,5182
715,715,2012-12-15,4,1,13.3,767,4280
716,716,2012-12-16,4,2,14.9,538,3248
717,717,2012-12-17,4,2,16.1,212,4373
718,718,2012-12-18,4,1,16.8,433,5124
719,719,2012-12-19,4,1,13.6,333,4934
720,720,2012-12-20,4,2,13.5,314,3814
721,721,2012-12-21,1,2,13.4,221,3402
722,722,2012-12-22,1,1,10.9,205,1544
723,723,2012-12-23,1,1,10.1,408,1379
724,724,2012-12-24,1,2,9.5,174,746
725,725,2012-12-25,1,2,11.9,440,573
726,726,2012-12-26,1,3,10.0,9,432
727,727,2012-12-27,1,2,10.4,247,1867
728,728,2012-12-28,1,2,10.4,644,2451
729,729,2012-12-29,1,2,10.4,159,1182
730,730,2012-12-30,1,1,10.5,364,1432
731,731,2012-12-31,1,2,8.8,439,2290
